Identifier,PMCID,sciscore_hit,trialidentifier_hit,ctregistries_hit,nct_hit
NCT03432676,PMC8019197,False,True,True,True
C000003927,PMC8367657,False,False,True,False
C000012503,PMC8367657,False,False,True,False
NCT01859988,PMC8560147,True,True,True,True
NCT03251989,PMC8561126,False,True,True,True
NCT02793583,PMC8882940,False,True,True,True
NCT 01768585,PMC8024658,False,False,True,True
NCT02832193,PMC8814304,True,True,True,True
201903007834,PMC8577151,False,False,True,False
NCT01768585,PMC8024658,False,True,False,True
NCT03442777,PMC8359283,True,True,True,True
NCT04798235,PMC8983315,False,True,True,True
NCT03022825,PMC8096327,False,True,True,True
NCT02780167,PMC8200343,True,True,True,True
NCT04510012,PMC8922213,True,True,True,True
DRKS00011615,PMC8006617,False,False,True,False
NCT03528863,PMC8842457,False,True,True,True
NCT04269629,PMC8359427,True,True,True,True
CTRI/2019/01/016982,PMC8948332,False,False,True,False
NCT02788773,PMC8524287,False,True,True,True
NCT03494699,PMC8719348,True,True,True,True
NCT03192410,PMC8246616,True,True,True,True
NCT04234061,PMC8882940,False,True,True,True
NCT02578940,PMC8754096,False,True,True,True
ISRCTN14848787,PMC8350004,False,True,True,False
DRKS00020533,PMC8322787,False,False,True,False
NCT03206970,PMC8882940,False,True,True,True
NCT02632396,PMC8882940,False,True,True,True
DRKS00013231,PMC8867313,False,False,True,False
NCT02851706,PMC8561126,False,True,True,True
NCT02825836,PMC8882940,False,True,True,True
NCT04678258,PMC8322787,False,True,True,True
NCT03004248,PMC8648634,False,True,True,True
202102020147,PMC8935403,False,False,True,False
NCT00883051,PMC8195962,True,True,True,True
NL 111,PMC8390327,False,False,True,False
https://gx.doi.org/10.17504/protocols.io.bdp7i5rn,PMC8382122,True,False,False,False
NCT02274428,PMC8176840,False,True,True,True
NCT02706951,PMC8516509,True,True,True,True
NCT03286374,PMC8714017,False,True,True,True
NCT02277743,PMC8560147,True,True,True,True
NCT02260986,PMC8560147,False,True,True,True
NL010,PMC8478793,False,False,True,False
NCT02747251,PMC8411479,True,True,True,True
NCT02601014,PMC8524287,False,True,True,True
NCT02506933,PMC8762141,False,True,True,True
NL557,PMC8478793,False,False,True,False
NCT04434196,PMC8882940,False,True,True,True
NCT03252015,PMC8195962,True,True,True,True
NCT01643187,PMC8710120,True,True,True,True
NCT04072458,PMC8882940,False,True,True,True
NCT01597622,PMC8256836,True,True,True,True
NCT02343120,PMC8882940,False,True,True,True
NCT02168842,PMC8485609,False,True,True,True
NL11,PMC8373830,False,False,True,False
DRKS00016605,PMC8259428,False,False,True,False
NCT01830959,PMC8552567,True,True,True,True
NCT03328299,PMC8753994,True,True,True,True
